# Pressure coefficient results from CFL3D, Re_H=36,000, SST model
# Cp values have been shifted so that Cp is close to 0 near x/H=40
x,cp
 1.458300054E-01, -1.964599788E-01
 1.666699946E-01, -1.964699924E-01
 1.875000000E-01, -1.964800060E-01
 2.083300054E-01, -1.964900196E-01
 2.291699946E-01, -1.964999735E-01
 2.500000000E-01, -1.965200007E-01
 2.708300054E-01, -1.965300143E-01
 2.916699946E-01, -1.965499818E-01
 3.125000000E-01, -1.965700090E-01
 3.333300054E-01, -1.965899765E-01
 3.541699946E-01, -1.966100037E-01
 3.750000000E-01, -1.966200173E-01
 3.958300054E-01, -1.966300309E-01
 4.166699946E-01, -1.966600120E-01
 4.375000000E-01, -1.966600120E-01
 4.583300054E-01, -1.966799796E-01
 4.791699946E-01, -1.966899931E-01
 5.000000000E-01, -1.967000067E-01
 5.208299756E-01, -1.967100203E-01
 5.416700244E-01, -1.967199743E-01
 5.625000000E-01, -1.967400014E-01
 5.833299756E-01, -1.967400014E-01
 6.041700244E-01, -1.967500150E-01
 6.250000000E-01, -1.967600286E-01
 6.458299756E-01, -1.967699826E-01
 6.666700244E-01, -1.967799962E-01
 6.875000000E-01, -1.967900097E-01
 7.083299756E-01, -1.968099773E-01
 7.291700244E-01, -1.968199909E-01
 7.500000000E-01, -1.968400180E-01
 7.708299756E-01, -1.968599856E-01
 7.916700244E-01, -1.968800128E-01
 8.125000000E-01, -1.969099939E-01
 8.333299756E-01, -1.969399750E-01
 8.541700244E-01, -1.969800293E-01
 8.750000000E-01, -1.970200241E-01
 8.958299756E-01, -1.970600188E-01
 9.166700244E-01, -1.971100271E-01
 9.375000000E-01, -1.971699893E-01
 9.583299756E-01, -1.972199976E-01
 9.791700244E-01, -1.972999871E-01
 1.000000000E+00, -1.973700225E-01
 1.020799994E+00, -1.974600255E-01
 1.041700006E+00, -1.975500286E-01
 1.062500000E+00, -1.976599991E-01
 1.083299994E+00, -1.977799833E-01
 1.104200006E+00, -1.979099810E-01
 1.125000000E+00, -1.980499923E-01
 1.145799994E+00, -1.982100308E-01
 1.166700006E+00, -1.983800232E-01
 1.187500000E+00, -1.985699832E-01
 1.208299994E+00, -1.987700164E-01
 1.229200006E+00, -1.989900172E-01
 1.250000000E+00, -1.992199719E-01
 1.270799994E+00, -1.994700134E-01
 1.291700006E+00, -1.997300088E-01
 1.312500000E+00, -2.000000179E-01
 1.333299994E+00, -2.002600133E-01
 1.354200006E+00, -2.005499899E-01
 1.375000000E+00, -2.008300126E-01
 1.395799994E+00, -2.011199892E-01
 1.416700006E+00, -2.014199793E-01
 1.437500000E+00, -2.017100155E-01
 1.458299994E+00, -2.020100057E-01
 1.479200006E+00, -2.022999823E-01
 1.500000000E+00, -2.025900185E-01
 1.520799994E+00, -2.028799951E-01
 1.541700006E+00, -2.031600177E-01
 1.562500000E+00, -2.034399807E-01
 1.583299994E+00, -2.037099898E-01
 1.604200006E+00, -2.039900124E-01
 1.625000000E+00, -2.042500079E-01
 1.645799994E+00, -2.045100033E-01
 1.666700006E+00, -2.047699988E-01
 1.687500000E+00, -2.050199807E-01
 1.708299994E+00, -2.052600086E-01
 1.729200006E+00, -2.054900229E-01
 1.750000000E+00, -2.057100236E-01
 1.770799994E+00, -2.059399784E-01
 1.791700006E+00, -2.061500251E-01
 1.812500000E+00, -2.063499987E-01
 1.833299994E+00, -2.065599859E-01
 1.854200006E+00, -2.067500055E-01
 1.875000000E+00, -2.069300115E-01
