# Turbulence results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
# Note: extraction at x/H=-4 was at nearest cell-center
x,y,uv
-3.953960419E+00, 6.930013180E+00, 3.590432118E-10
-3.953960419E+00, 7.026399612E+00, 3.477736432E-10
-3.953960419E+00, 7.119725704E+00, 3.381746549E-10
-3.953960419E+00, 7.209955215E+00, 3.612836974E-10
-3.953960419E+00, 7.297065258E+00, 1.084802026E-09
-3.953960419E+00, 7.381046772E+00, 2.752939210E-08
-3.953960419E+00, 7.461904526E+00, 1.927180847E-06
-3.953960419E+00, 7.539653778E+00, 2.365202999E-05
-3.953960419E+00, 7.614321709E+00, 9.606566164E-05
-3.953960419E+00, 7.685945511E+00, 1.936527260E-04
-3.953960419E+00, 7.754570484E+00, 2.836916829E-04
-3.953960419E+00, 7.820250511E+00, 3.722358670E-04
-3.953960419E+00, 7.883046150E+00, 4.450212000E-04
-3.953960419E+00, 7.943023682E+00, 5.233077100E-04
-3.953960419E+00, 8.000255585E+00, 6.009618519E-04
-3.953960419E+00, 8.054817200E+00, 6.733788759E-04
-3.953960419E+00, 8.106788635E+00, 7.388787344E-04
-3.953960419E+00, 8.156250954E+00, 7.973115426E-04
-3.953960419E+00, 8.203288078E+00, 8.492709603E-04
-3.953960419E+00, 8.247985840E+00, 8.956073434E-04
-3.953960419E+00, 8.290431023E+00, 9.371622582E-04
-3.953960419E+00, 8.330708504E+00, 9.746531723E-04
-3.953960419E+00, 8.368906021E+00, 1.008653198E-03
-3.953960419E+00, 8.405107498E+00, 1.039617113E-03
-3.953960419E+00, 8.439397812E+00, 1.067918609E-03
-3.953960419E+00, 8.471859932E+00, 1.093878644E-03
-3.953960419E+00, 8.502576828E+00, 1.117782434E-03
-3.953960419E+00, 8.531625748E+00, 1.139695756E-03
-3.953960419E+00, 8.559086800E+00, 1.158511150E-03
-3.953960419E+00, 8.585034370E+00, 1.176740392E-03
-3.953960419E+00, 8.609540939E+00, 1.193575095E-03
-3.953960419E+00, 8.632678986E+00, 1.209128066E-03
-3.953960419E+00, 8.654516220E+00, 1.223498723E-03
-3.953960419E+00, 8.675118446E+00, 1.236776123E-03
-3.953960419E+00, 8.694549561E+00, 1.249040593E-03
-3.953960419E+00, 8.712869644E+00, 1.260363963E-03
-3.953960419E+00, 8.730137825E+00, 1.270811190E-03
-3.953960419E+00, 8.746410370E+00, 1.280440134E-03
-3.953960419E+00, 8.761739731E+00, 1.289303065E-03
-3.953960419E+00, 8.776177406E+00, 1.297446899E-03
-3.953960419E+00, 8.789772987E+00, 1.304913661E-03
-3.953960419E+00, 8.802571297E+00, 1.311741187E-03
-3.953960419E+00, 8.814618111E+00, 1.317963586E-03
-3.953960419E+00, 8.825954437E+00, 1.323611359E-03
-3.953960419E+00, 8.836620331E+00, 1.328711514E-03
-3.953960419E+00, 8.846653938E+00, 1.333288732E-03
-3.953960419E+00, 8.856091499E+00, 1.337364200E-03
-3.953960419E+00, 8.864966393E+00, 1.340957242E-03
-3.953960419E+00, 8.873311043E+00, 1.344084390E-03
-3.953960419E+00, 8.881156921E+00, 1.346759964E-03
-3.953960419E+00, 8.888532639E+00, 1.348995953E-03
-3.953960419E+00, 8.895464897E+00, 1.350802369E-03
-3.953960419E+00, 8.901980400E+00, 1.352186780E-03
-3.953960419E+00, 8.908102989E+00, 1.353154774E-03
-3.953960419E+00, 8.913856506E+00, 1.353709842E-03
-3.953960419E+00, 8.919261932E+00, 1.353852684E-03
-3.953960419E+00, 8.924340248E+00, 1.353582251E-03
-3.953960419E+00, 8.929110527E+00, 1.352894469E-03
-3.953960419E+00, 8.933590889E+00, 1.351782819E-03
