# Skin friction coefficient results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
x,cf
 -7.075281620E+00, 2.902685897E-03
 -6.928214550E+00, 2.903691726E-03
 -6.783751965E+00, 2.904743887E-03
 -6.641853809E+00, 2.905842848E-03
 -6.502480507E+00, 2.906989073E-03
 -6.365592957E+00, 2.908182796E-03
 -6.231151581E+00, 2.909424482E-03
 -6.099119186E+00, 2.910714597E-03
 -5.969456673E+00, 2.912053140E-03
 -5.842127323E+00, 2.913440811E-03
 -5.717092991E+00, 2.914877841E-03
 -5.594317913E+00, 2.916364465E-03
 -5.473764896E+00, 2.917901147E-03
 -5.355398178E+00, 2.919488121E-03
 -5.239182472E+00, 2.921125386E-03
 -5.125082493E+00, 2.922813175E-03
 -5.013063431E+00, 2.924551722E-03
 -4.903090954E+00, 2.926341025E-03
 -4.795131683E+00, 2.928182250E-03
 -4.689151764E+00, 2.930076560E-03
 -4.585118294E+00, 2.932027914E-03
 -4.482998848E+00, 2.934038406E-03
 -4.382761002E+00, 2.936115023E-03
 -4.284373760E+00, 2.938242862E-03
 -4.187804699E+00, 2.940471517E-03
 -4.093023777E+00, 2.942738123E-03
 -3.907920599E+00, 2.946872730E-03
 -3.817852497E+00, 2.949139569E-03
 -3.729748964E+00, 2.951534465E-03
 -3.643565178E+00, 2.953978023E-03
 -3.559256315E+00, 2.956464188E-03
 -3.476779461E+00, 2.958990633E-03
 -3.396091700E+00, 2.961555030E-03
 -3.317151785E+00, 2.964157145E-03
 -3.239918947E+00, 2.966796048E-03
 -3.164353609E+00, 2.969471738E-03
 -3.090416908E+00, 2.972183982E-03
 -3.018070459E+00, 2.974932315E-03
 -2.947277308E+00, 2.977716504E-03
 -2.878000975E+00, 2.980536316E-03
 -2.810205698E+00, 2.983391518E-03
 -2.743856668E+00, 2.986281412E-03
 -2.678919792E+00, 2.989205997E-03
 -2.615361691E+00, 2.992165042E-03
 -2.553149462E+00, 2.995157847E-03
 -2.492251396E+00, 2.998184413E-03
 -2.432635784E+00, 3.001244506E-03
 -2.374272108E+00, 3.004337894E-03
 -2.317130327E+00, 3.007464111E-03
 -2.261180878E+00, 3.010622691E-03
 -2.206395388E+00, 3.013812471E-03
 -2.152745247E+00, 3.017032519E-03
 -2.100203276E+00, 3.020281903E-03
 -2.048741817E+00, 3.023560857E-03
 -1.998334885E+00, 3.026869614E-03
 -1.948956370E+00, 3.030209802E-03
 -1.900580883E+00, 3.033581888E-03
 -1.853183508E+00, 3.036987036E-03
 -1.806739926E+00, 3.040425945E-03
 -1.761226058E+00, 3.043898847E-03
 -1.716618657E+00, 3.047406673E-03
 -1.672894716E+00, 3.050949657E-03
 -1.630031705E+00, 3.054528730E-03
