# Velocity results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
x,y,u
-4.000000000E+00, 6.676393986E+00, 9.950119853E-01
-4.000000000E+00, 6.780178070E+00, 9.949100614E-01
-4.000000000E+00, 6.881060600E+00, 9.948140383E-01
-4.000000000E+00, 6.978965759E+00, 9.947235584E-01
-4.000000000E+00, 7.073832989E+00, 9.946389198E-01
-4.000000000E+00, 7.165618420E+00, 9.945594072E-01
-4.000000000E+00, 7.254292011E+00, 9.944868684E-01
-4.000000000E+00, 7.339838505E+00, 9.944326282E-01
-4.000000000E+00, 7.422255516E+00, 9.942907095E-01
-4.000000000E+00, 7.501553535E+00, 9.928250909E-01
-4.000000000E+00, 7.577754021E+00, 9.877797365E-01
-4.000000000E+00, 7.650889397E+00, 9.793685079E-01
-4.000000000E+00, 7.721001148E+00, 9.698387384E-01
-4.000000000E+00, 7.788139343E+00, 9.601696730E-01
-4.000000000E+00, 7.852361202E+00, 9.502720237E-01
-4.000000000E+00, 7.913730621E+00, 9.399073124E-01
-4.000000000E+00, 7.972317219E+00, 9.291976690E-01
-4.000000000E+00, 8.028194427E+00, 9.185049534E-01
-4.000000000E+00, 8.081440926E+00, 9.080955982E-01
-4.000000000E+00, 8.132136345E+00, 8.980928063E-01
-4.000000000E+00, 8.180364609E+00, 8.885203600E-01
-4.000000000E+00, 8.226211548E+00, 8.793485761E-01
-4.000000000E+00, 8.269761086E+00, 8.705293536E-01
-4.000000000E+00, 8.311100960E+00, 8.620136380E-01
-4.000000000E+00, 8.350317001E+00, 8.537606597E-01
-4.000000000E+00, 8.387495041E+00, 8.457388282E-01
-4.000000000E+00, 8.422719955E+00, 8.379241228E-01
-4.000000000E+00, 8.456075668E+00, 8.302972913E-01
-4.000000000E+00, 8.487645149E+00, 8.228401542E-01
-4.000000000E+00, 8.517508507E+00, 8.155316114E-01
-4.000000000E+00, 8.545743942E+00, 8.083444238E-01
-4.000000000E+00, 8.572429657E+00, 8.012505770E-01
-4.000000000E+00, 8.597638130E+00, 7.942335010E-01
-4.000000000E+00, 8.621443748E+00, 7.872834206E-01
-4.000000000E+00, 8.643914223E+00, 7.803918123E-01
-4.000000000E+00, 8.665118217E+00, 7.735509872E-01
-4.000000000E+00, 8.685118675E+00, 7.667539120E-01
-4.000000000E+00, 8.703979492E+00, 7.599943876E-01
-4.000000000E+00, 8.721759796E+00, 7.532666922E-01
-4.000000000E+00, 8.738515854E+00, 7.465654612E-01
-4.000000000E+00, 8.754303932E+00, 7.398859859E-01
-4.000000000E+00, 8.769175529E+00, 7.332237959E-01
-4.000000000E+00, 8.783180237E+00, 7.265747190E-01
-4.000000000E+00, 8.796365738E+00, 7.199349403E-01
-4.000000000E+00, 8.808777809E+00, 7.133007050E-01
-4.000000000E+00, 8.820458412E+00, 7.066686153E-01
-4.000000000E+00, 8.831449509E+00, 7.000352740E-01
-4.000000000E+00, 8.841790199E+00, 6.933975816E-01
-4.000000000E+00, 8.851517677E+00, 6.867521405E-01
-4.000000000E+00, 8.860665321E+00, 6.800960302E-01
-4.000000000E+00, 8.869267464E+00, 6.734262705E-01
-4.000000000E+00, 8.877355576E+00, 6.667396426E-01
-4.000000000E+00, 8.884959221E+00, 6.600331068E-01
-4.000000000E+00, 8.892106056E+00, 6.533035636E-01
-4.000000000E+00, 8.898823738E+00, 6.465477347E-01
-4.000000000E+00, 8.905137062E+00, 6.397623420E-01
-4.000000000E+00, 8.911068916E+00, 6.329439878E-01
-4.000000000E+00, 8.916643143E+00, 6.260890365E-01
-4.000000000E+00, 8.921879768E+00, 6.191939116E-01
-4.000000000E+00, 8.926799774E+00, 6.122544408E-01
-4.000000000E+00, 8.931421280E+00, 6.052665710E-01
-4.000000000E+00, 8.935761452E+00, 5.982258916E-01
-4.000000000E+00, 8.939838409E+00, 5.911276340E-01
-4.000000000E+00, 8.943667412E+00, 5.839669704E-01
-4.000000000E+00, 8.947263718E+00, 5.767383575E-01
-4.000000000E+00, 8.950639725E+00, 5.694360733E-01
-4.000000000E+00, 8.953810692E+00, 5.620539188E-01
-4.000000000E+00, 8.956788063E+00, 5.545853376E-01
-4.000000000E+00, 8.959583282E+00, 5.470228791E-01
-4.000000000E+00, 8.962207794E+00, 5.393589139E-01
-4.000000000E+00, 8.964671135E+00, 5.315849781E-01
-4.000000000E+00, 8.966984749E+00, 5.236919522E-01
-4.000000000E+00, 8.969156265E+00, 5.156697631E-01
-4.000000000E+00, 8.971194267E+00, 5.075075626E-01
-4.000000000E+00, 8.973108292E+00, 4.991934001E-01
-4.000000000E+00, 8.974904060E+00, 4.907144010E-01
-4.000000000E+00, 8.976590157E+00, 4.820565283E-01
-4.000000000E+00, 8.978172302E+00, 4.732040763E-01
-4.000000000E+00, 8.979657173E+00, 4.641402662E-01
-4.000000000E+00, 8.981051445E+00, 4.548463523E-01
